"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)"
"1","Agric","0.256270773539099","3.13763660418524","0.370887269627205","0.407457707955516","0.981861777356528","0.00358110578841796","0.00284833501134103","1.25726284800043","0.580802932258715","0.103404143594827","5.61682454945426","0.246190934127111","0.188130354027833","1.3086188850242","0.0994893803875778","0.137491393632892","0.723604421766347","0.171145890238604","0.134244156522074","1.27488521416918","-0.0225442137838363","0.215557352181927","-0.104585687083451","0.105732013779482","0.175918158625263","0.60102956173336"
"2","Food","0.36156367943083","4.06626377939814","0.254397167064863","2.37593040955763","0.666981330910645","0.00248655012317232","0.0017365795316095","1.43186653873994","0.577610884822823","0.0630436793900315","9.16207446030117","-0.350412060232147","0.114699752935792","-3.05503762007494","0.256759273481881","0.0838260734796542","3.06300012422985","-0.00226218547845223","0.081846290385855","-0.0276394381197659","0.138420229973972","0.131421509126075","1.053253998485","-0.0325394611105644","0.107254193165724","-0.303386377260663"
"3","Soda","0.265915853176128","4.29307727097722","0.231506731120754","5.39746613679336","0.248890379772365","0.00190036418661203","0.0030871941961537","0.615563539533624","0.870823704622481","0.11207553559997","7.76997138546546","0.0535214382339655","0.203906820919082","0.262479881706385","0.615211092648045","0.14902131622667","4.1283428990271","-0.153293349275065","0.145501768307574","-1.05354973384942","-0.255523727513015","0.233633826057909","-1.0936932028399","-0.411244625231029","0.190670520196381","-2.15683381367748"
"4","Beer","0.323034740714642","8.70517456366564","0.0334787694986926","8.06238350456569","0.0893195520308687","0.00251344514192288","0.00207380338183193","1.21199780265697","0.752624415617692","0.0752860396788172","9.99686553879728","-0.284343015175117","0.136973130918498","-2.07590359706611","0.235045142192569","0.100104136610824","2.34800628775569","-0.242074550735472","0.0977399023212436","-2.47672184017374","-0.0811026280658838","0.156942060591093","-0.516767957298548","-0.209465616529168","0.128081728739821","-1.63540591300627"
"5","Smoke","0.161293284540702","8.27076702759546","0.0407349880494123","2.30157058487476","0.680483118502098","0.00513191594282879","0.00328281022457523","1.56326914800347","0.451607748579415","0.119177055544713","3.78938501639671","-0.027388894846579","0.216827110328134","-0.126316745194502","0.466367779539132","0.158463857310327","2.9430545706446","0.248470976162211","0.154721297833802","1.6059261371315","-0.314088960932984","0.248437728324671","-1.26425629090649","-0.149028823266902","0.2027521086965","-0.735029708075608"
"6","Toys","0.451211627100576","22.8439685366825","4.35228265363309e-05","1.3003411284976","0.861317651473718","-0.00334333517975069","0.00271890810970407","-1.22966096861383","1.16510118907514","0.0987055116331313","11.8038108490394","0.0439848183741542","0.179581805936145","0.244929146050543","0.243458468309943","0.131243854277865","1.85500852325246","-0.318737112711237","0.128144169978237","-2.48733214133245","0.447628242718092","0.205762535172378","2.17546037884443","-0.128562034942389","0.167924526513208","-0.765594148823029"
"7","Fun","0.617057802653652","38.4144024286659","2.3094016224401e-08","0.470327095438609","0.976324606630171","-0.00105602738901674","0.00248243221611367","-0.425400291763047","1.47743977452079","0.0901206411174881","16.3940220153859","-0.157174176358472","0.163962753611515","-0.958596833100719","0.0640064104658127","0.119828975044604","0.534148025900977","-0.288180980166466","0.116998884488136","-2.46310878456016","0.608547338855158","0.187866424892429","3.2392554401544","0.0668446235571006","0.153319361181866","0.435982925064567"
"8","Books","0.670266887694513","7.83375484903494","0.0495753911601239","12.2255422254329","0.0157505625606861","-0.00347998678427897","0.00177160251536133","-1.96431578421483","1.13497950806538","0.064315131528412","17.6471614236534","-0.0266377034264738","0.117012994287708","-0.22764739581809","0.449952561346511","0.0855166607266067","5.26157777354042","-0.162742684457713","0.083496949768944","-1.9490853846525","0.326916918914834","0.134071991465054","2.43836848653094","-0.0895326679624909","0.109417273978428","-0.818268128121547"
"9","Hshld","0.437339589788947","0.317538024838415","0.956697001600283","37.770037753759","1.24987481919803e-07","0.00252655233447957","0.00167175512572715","1.51131723516063","0.63592735996747","0.060690335367078","10.4782311074925","-0.0388385362703227","0.110418150392646","-0.35174050762681","0.133109575867911","0.0806969479130682","1.64949950785382","0.0232496747471602","0.0787910677189032","0.295080082302048","-0.192545336503918","0.126515703722873","-1.52190859188263","-0.0107017420182377","0.103250524330635","-0.103648306753077"
"10","Clths","0.567320535583443","35.7144072953298","8.60524174841865e-08","1.52109767492814","0.822897823278382","0.000333536151136012","0.0022277403506534","0.149719490890483","1.29460820369586","0.0808744695387844","16.0076252874216","-0.681196555502406","0.147140550244893","-4.62956373595626","0.402827490381439","0.10753479637894","3.7460199297902","-0.383930696215633","0.104995066638195","-3.65665462681814","1.0430401200258","0.168591759545025","6.18677996386436","-0.352504010015548","0.13758914552598","-2.56200450019502"
"11","Hlth","0.430674821287946","120.351321895879","6.48294923350204e-26","0.836405142953669","0.933501885305262","-0.00142515319011463","0.00261509545947834","-0.544971765733907","1.11090832871908","0.0949367631719569","11.7015610349693","-0.661280123399555","0.172725059604772","-3.82851292633907","0.493566144201706","0.126232735185684","3.9099694978144","-0.417761387770857","0.123251402234841","-3.38950616541353","1.27283827203916","0.19790616297018","6.43152417760201","-0.348998234845676","0.16151287542687","-2.16080751409628"
