"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","psi.b","SE(psi.b)","t(psi.b)"
"1","Agric","0.242430424828381","0.92938747315268","0.335022140387837","0.225816708373329","0.893232517385574","0.00440739583176104","0.00309867927317708","1.42234656871801","0.554162223307955","0.179034819240463","3.09527624659233","0.169274155427181","0.191595226404487","0.883498814682455"
"2","Food","0.294547128109479","0.209146590398853","0.647437121457504","0.455722923448811","0.796234561157871","0.00314648308162621","0.00196766702978321","1.59909325815805","0.467680584319318","0.113687439049302","4.1137401654065","0.0479709471364402","0.121663320668042","0.394292600868002"
"3","Soda","0.230505277192613","1.19407569586269","0.274508979094231","2.59020498440601","0.273869793374484","0.00185995974002685","0.00340702696078308","0.545918703149725","1.01511535617874","0.196850465084039","5.15678413939923","-0.312413978336367","0.210660750716592","-1.48301939147966"
"4","Beer","0.26798002821793","3.73121312170321","0.0534045935424233","2.68875181739637","0.260702359174785","0.00170054920201271","0.00232448941732045","0.731579670503735","0.837896920630282","0.134303845596011","6.23881555224185","-0.32515392870842","0.143726096482943","-2.26231656369383"
"5","Smoke","0.116347692204275","0.922583753036171","0.336797476386588","0.0196972071231366","0.990199735114848","0.00631370914815423","0.00363214473487787","1.7382867724203","0.39350308614744","0.209857271029319","1.87509865260977","0.159771584901964","0.224580065073751","0.711423718082438"
"6","Toys","0.408753618502944","1.18524268571265","0.276291267561243","4.48543285920444","0.106169709769247","-0.0028777169250673","0.00304199186388436","-0.945997574560474","1.16707377318713","0.175759546396388","6.64017287888902","-0.180010563065997","0.188090172779951","-0.957043956127328"
"7","Fun","0.591133031377871","2.39934692588679","0.121385916052227","0.860457884724233","0.65036018268138","-0.00189216577583326","0.00276492605032906","-0.684345888964398","1.55943955599324","0.159751297889687","9.7616706505263","-0.269576881213794","0.170958845979988","-1.57685248557041"
"8","Books","0.600082382190456","0.00591747193306633","0.938683125020755","8.79516501447132","0.0123070561884293","-0.00180910495623083","0.00210306161433334","-0.860224419437329","1.01237201344491","0.121510238001391","8.33157789908467","0.0181850138366555","0.130034937668025","0.139847137721412"
"9","Hshld","0.413792833666995","0.377998232679344","0.538676500051907","0.257012202202626","0.879408197043543","0.00240495247960821","0.00183931777042238","1.3075241909156","0.669745340154404","0.106271703368548","6.30219822328191","-0.0595714081066525","0.11372732496208","-0.523809103278522"
"10","Clths","0.496816413783173","0.342613650735598","0.558324444366079","4.82474271297211","0.0896025628220131","0.00121527641069604","0.0025895624169421","0.469297979745591","1.11129643057332","0.149619175899341","7.42750001056656","-0.0959571260116499","0.160115892553756","-0.599297949011739"
